id,סכום,שולם עד כה,נשאר לתשלום,מס תשלומים,גביה חודשית,יתרה בשנים,משולם עד סוף 2025 (החל מיוני),משולם בשנת 2026,משולם בשנת 2027,משולם מ-2028-2030 (3 שנים),משולם 2031-2035,data validation,לינק לתרומה
5678440,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4698134,"₪25,000.00","11,046.00","₪13,954.00",93.03,150,7.75,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,904.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4393181,"₪25,000.00","13,028.00","₪11,972.00",79.81,150,6.65,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪1,922.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4140228,"₪25,000.00","10,000.00","₪15,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4052787,"₪25,000.00","14,360.00","₪10,640.00",70.93,150,5.91,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00",₪590.00,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4044818,"₪25,000.00","11,800.00","₪13,200.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4029553,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4023564,"₪25,000.00","17,250.00","₪7,750.00",51.67,150,4.31,"₪1,050.00","₪1,800.00","₪1,800.00","₪3,100.00",₪ -,FALSE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3547399,"₪25,000.00","10,500.00","₪14,500.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3483488,"₪25,000.00","20,830.00","₪4,170.00",27.8,150,2.32,"₪1,050.00","₪1,800.00","₪1,320.00",₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3470287,"₪25,000.00","14,221.00","₪10,779.00",35.93,300,2.99,"₪2,100.00","₪3,600.00","₪3,600.00","₪1,479.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
34661111,"₪25,000.00","11,800.00","₪13,200.00",,,,0,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3342833,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
29018386,"₪25,000.00","6,000.00","₪19,000.00",95,200,7.92,"₪1,400.00","₪2,400.00","₪2,400.00","₪7,200.00","₪5,600.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
2781072,"₪25,000.00","13,915.00","₪11,085.00",73.9,150,6.16,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪1,035.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
2459422,"₪25,000.00","17,500.00","₪7,500.00",15,500,1.25,"₪3,500.00","₪4,000.00",₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
23614040,"₪25,000.00","11,894.00","₪13,106.00",87.37,150,7.28,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,056.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
2359655,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
22615154,"₪25,000.00","10,000.00","₪15,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
2143109,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
2017048,"₪25,000.00","11,950.00","₪13,050.00",87,150,7.25,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,000.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
1947625,"₪25,000.00","12,002.00","₪12,998.00",86.65,150,7.22,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,948.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
19147351,"₪25,000.00","2,222.00","₪22,778.00",82,277.77,6.83,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪4,167.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
1895071,"₪25,000.00","12,520.00","₪12,480.00",83.2,150,6.93,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,430.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
1796758,"₪25,000.00","10,555.00","₪14,445.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
16602986,"₪25,000.00","6,944.00","₪18,056.00",65,277.77,5.42,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,445.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
16091081,"₪25,000.00","6,044.00","₪18,956.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
15992719,"₪25,000.00","7,094.00","₪17,906.00",64.46,277.77,5.37,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,295.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
13237927,"₪25,000.00","2,250.00","₪22,750.00",151.67,150,12.64,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪7,200.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
12787997,"₪25,000.00","4,644.00","₪20,356.00",73.28,277.77,6.11,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,745.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
12263312,"₪25,000.00",0,"₪25,000.00",,250,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
11377204,"₪25,000.00","7,594.00","₪17,406.00",62.66,277.77,5.22,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,795.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08527258,"₪25,000.00","7,822.00","₪17,178.00",61.84,277.77,5.15,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,567.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08478809,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08446665,"₪25,000.00","9,999.84","₪15,000.16",36,416.66,3,"₪2,916.62","₪4,999.92","₪4,999.92","₪2,083.70",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08404482,"₪25,000.00","12,000.00","₪13,000.00",86.67,150,7.22,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,950.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08302363,"₪25,000.00","6,582.00","₪18,418.00",66.31,277.77,5.53,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,807.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08201730,"₪25,000.00","4,579.00","₪20,421.00",73.52,277.77,6.13,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,810.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08091685,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
07988477,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
07866426,"₪25,000.00","7,499.00","₪17,501.00",63.01,277.77,5.25,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,890.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
07833756,"₪25,000.00","2,830.00","₪22,170.00",147.8,150,12.32,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪7,200.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
05680837,"₪25,000.00","19,375.00","₪5,625.00",9,625,0.75,"₪4,375.00","₪1,250.00",₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
05393910,"₪25,000.00","17,500.00","₪7,500.00",15,500,1.25,"₪3,500.00","₪4,000.00",₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
05388514,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04939671,"₪25,000.00","7,916.00","₪17,084.00",61.5,277.77,5.13,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,473.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04907322,"₪25,000.00","7,594.00","₪17,406.00",62.66,277.77,5.22,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,795.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04901374,"₪25,000.00",,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04863780,"₪25,000.00","8,636.00","₪16,364.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
01795084,"₪25,000.00","9,999.72","₪15,000.28",54,277.77,4.5,"₪1,944.39","₪3,333.24","₪3,333.24","₪6,389.41",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
01040390,"₪25,000.00","10,997.00","₪14,003.00",93.35,150,7.78,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,953.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00875002,"₪25,000.00","13,000.00","₪12,000.00",80,150,6.67,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪1,950.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00777620,"₪25,000.00","11,415.00","₪13,585.00",90.57,150,7.55,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,535.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00631256,"₪25,000.00","15,325.00","₪9,675.00",19.35,500,1.61,"₪3,500.00","₪6,000.00",₪175.00,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00619525,"₪25,000.00","12,247.00","₪12,753.00",85.02,150,7.09,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,703.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00528361,"₪25,000.00","10,277.00","₪14,723.00",98.15,150,8.18,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪4,673.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00502978,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00447356,"₪25,000.00","7,177.00","₪17,823.00",64.16,277.77,5.35,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,212.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00400520,"₪25,000.00","11,650.00","₪13,350.00",89,150,7.42,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,300.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00135175,"₪25,000.00","17,830.00","₪7,170.00",23.9,300,1.99,"₪2,100.00","₪3,600.00","₪1,470.00",₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00011061,"₪25,000.00","7,777.56","₪17,222.44",62,277.77,5.17,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,611.57",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9606167,"₪25,000.00","12,805.00","₪12,195.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8966166,"₪25,000.00",0,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8772341,"₪25,000.00","18,678.00","₪6,322.00",15.17,416.66,1.26,"₪2,916.62","₪3,405.38",₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8544088,"₪25,000.00","14,500.00","₪10,500.00",35,300,2.92,"₪2,100.00","₪3,600.00","₪3,600.00","₪1,200.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8536738,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7372002,"₪25,000.00","17,230.00","₪7,770.00",15.54,500,1.3,"₪3,500.00","₪4,270.00",₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7237791,"₪25,000.00","3,400.00","₪21,600.00",432,50,36,₪350.00,₪600.00,₪600.00,"₪1,800.00","₪2,400.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7201268,"₪25,000.00",0,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5739350,"₪25,000.00","11,950.00","₪13,050.00",87,150,7.25,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,000.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5596495,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5465030,"₪25,000.00","9,000.00","₪16,000.00",80,200,6.67,"₪1,400.00","₪2,400.00","₪2,400.00","₪7,200.00","₪2,600.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5248170,"₪25,000.00","13,727.00","₪11,273.00",75.15,150,6.26,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪1,223.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
52448824,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5182239,"₪25,000.00","16,841.00","₪8,159.00",54.39,150,4.53,"₪1,050.00","₪1,800.00","₪1,800.00","₪3,509.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5075656,"₪25,000.00","14,500.00","₪10,500.00",35,300,2.92,"₪2,100.00","₪3,600.00","₪3,600.00","₪1,200.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5056110,"₪25,000.00","14,000.00","₪11,000.00",36.67,300,3.06,"₪2,100.00","₪3,600.00","₪3,600.00","₪1,700.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4655722,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4502288,"₪25,000.00","12,460.00","₪12,540.00",83.6,150,6.97,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,490.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
4153629,"₪25,000.00","12,666.50","₪12,333.50",82.22,150,6.85,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,283.50",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3580426,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3,,,,,,,,,,,,,https://www.jgive.com/new/he/ils/charity-organizations/3508
1523105,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
13812704,"₪25,000.00",0,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
09217355,"₪25,000.00","5,277.63","₪19,722.37",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,111.78",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08484410,"₪25,000.00","8,610.00","₪16,390.00",59.01,277.77,4.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪7,779.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
08481309,"₪25,000.00","2,500.00","₪22,500.00",225,100,18.75,₪700.00,"₪1,200.00","₪1,200.00","₪3,600.00","₪4,800.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
07685934,"₪25,000.00","15,580.00","₪9,420.00",62.8,150,5.23,"₪1,050.00","₪1,800.00","₪1,800.00","₪4,770.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
07685918,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
07591553,"₪25,000.00",0,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
06138067,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
05599939,"₪25,000.00","5,555.63","₪19,444.37",70,277.77,5.83,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72",₪833.78,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
05555469,"₪25,000.00","5,800.00","₪19,200.00",96,200,8,"₪1,400.00","₪2,400.00","₪2,400.00","₪7,200.00","₪5,800.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
05432057,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04653398,"₪25,000.00","3,131.00","₪21,869.00",92.27,237,7.69,"₪1,659.00","₪2,844.00","₪2,844.00","₪8,532.00","₪5,990.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04521496,"₪25,000.00",0,"₪25,000.00",,250,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04240881,"₪25,000.00","7,222.00","₪17,778.00",64,277.77,5.33,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,167.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
04048326,"₪25,000.00","9,866.00","₪15,134.00",54.48,277.77,4.54,"₪1,944.39","₪3,333.24","₪3,333.24","₪6,523.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
03816384,"₪25,000.00","6,160.00","₪18,840.00",376.8,50,31.4,₪350.00,₪600.00,₪600.00,"₪1,800.00","₪2,400.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
03463716,"₪25,000.00","7,222.00","17,778.00",64,277.77,5.33,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,167.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
03304761,"₪25,000.00","6,944.00","₪18,056.00",65,277.77,5.42,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,445.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
03199989,"₪25,000.00","7,094.00","₪17,906.00",64.46,277.77,5.37,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,295.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
01211786,"₪25,000.00",0,"₪25,000.00",,250,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
